grade,semester,unit,word,phonetic,pos,meaning,difficulty,tags
3,上,Unit1,hello,/həˈləʊ/,int.,你好,1,问候
3,上,Unit1,hi,/haɪ/,int.,嗨；你好,1,问候
3,上,Unit1,goodbye,/ˌɡʊdˈbaɪ/,int.,再见,1,问候
3,上,Unit1,bye,/baɪ/,int.,再见,1,问候
3,上,Unit1,name,/neɪm/,n.,名字,1,问候
3,上,Unit1,my,/maɪ/,pron.,我的,1,代词
3,上,Unit1,your,/jɔː(r)/,pron.,你的；你们的,1,代词
3,上,Unit1,I,/aɪ/,pron.,我,1,代词
3,上,Unit1,you,/juː/,pron.,你；你们,1,代词
3,上,Unit1,friend,/frend/,n.,朋友,1,人物
3,上,Unit1,boy,/bɔɪ/,n.,男孩,1,人物
3,上,Unit1,girl,/ɡɜːl/,n.,女孩,1,人物
3,上,Unit1,teacher,/ˈtiːtʃə(r)/,n.,教师,1,学校
3,上,Unit1,student,/ˈstjuːdnt/,n.,学生,1,学校
3,上,Unit1,Miss,/mɪs/,n.,小姐；女士,1,称呼
3,上,Unit1,Mr,/ˈmɪstə(r)/,n.,先生,1,称呼
3,上,Unit1,good,/ɡʊd/,adj.,好的,1,形容词
3,上,Unit1,morning,/ˈmɔːnɪŋ/,n.,早晨；上午,1,时间
3,上,Unit1,afternoon,/ˌɑːftəˈnuːn/,n.,下午,1,时间
3,上,Unit2,ruler,/ˈruːlə(r)/,n.,尺子,1,文具
3,上,Unit2,pencil,/ˈpensl/,n.,铅笔,1,文具
3,上,Unit2,eraser,/ɪˈreɪzə(r)/,n.,橡皮,1,文具
3,上,Unit2,crayon,/ˈkreɪən/,n.,蜡笔,1,文具
3,上,Unit2,bag,/bæɡ/,n.,书包；袋,1,文具
3,上,Unit2,pen,/pen/,n.,钢笔,1,文具
3,上,Unit2,book,/bʊk/,n.,书,1,学校
3,上,Unit2,sharpener,/ˈʃɑːpnə(r)/,n.,卷笔刀,1,文具
3,上,Unit2,have,/hæv/,v.,有,1,动作
3,上,Unit2,open,/ˈəʊpən/,v.,打开,1,动作
3,上,Unit2,close,/kləʊz/,v.,关闭,1,动作
3,上,Unit2,show,/ʃəʊ/,v.,给……看；展示,1,动作
3,上,Unit3,head,/hed/,n.,头,1,身体
3,上,Unit3,face,/feɪs/,n.,脸,1,身体
3,上,Unit3,nose,/nəʊz/,n.,鼻子,1,身体
3,上,Unit3,mouth,/maʊθ/,n.,嘴,1,身体
3,上,Unit3,eye,/aɪ/,n.,眼睛,1,身体
3,上,Unit3,ear,/ɪə(r)/,n.,耳朵,1,身体
3,上,Unit3,arm,/ɑːm/,n.,胳膊,1,身体
3,上,Unit3,hand,/hænd/,n.,手,1,身体
3,上,Unit3,finger,/ˈfɪŋɡə(r)/,n.,手指,1,身体
3,上,Unit3,leg,/leɡ/,n.,腿,1,身体
3,上,Unit3,foot,/fʊt/,n.,脚,1,身体
3,上,Unit3,body,/ˈbɒdi/,n.,身体,1,身体
3,上,Unit3,touch,/tʌtʃ/,v.,触摸,1,动作
3,上,Unit3,look,/lʊk/,v.,看,1,动作
3,上,Unit4,red,/red/,adj.,红色的,1,颜色
3,上,Unit4,yellow,/ˈjeləʊ/,adj.,黄色的,1,颜色
3,上,Unit4,green,/ɡriːn/,adj.,绿色的,1,颜色
3,上,Unit4,blue,/bluː/,adj.,蓝色的,1,颜色
3,上,Unit4,white,/waɪt/,adj.,白色的,1,颜色
3,上,Unit4,black,/blæk/,adj.,黑色的,1,颜色
3,上,Unit4,orange,/ˈɒrɪndʒ/,adj.,橙色的,1,颜色
3,上,Unit4,brown,/braʊn/,adj.,棕色的,1,颜色
3,上,Unit4,purple,/ˈpɜːpl/,adj.,紫色的,1,颜色
3,上,Unit4,pink,/pɪŋk/,adj.,粉色的,1,颜色
3,上,Unit4,colour,/ˈkʌlə(r)/,n.,颜色,1,颜色
3,上,Unit4,see,/siː/,v.,看见,1,动作
3,上,Unit5,one,/wʌn/,num.,一,1,数字
3,上,Unit5,two,/tuː/,num.,二,1,数字
3,上,Unit5,three,/θriː/,num.,三,1,数字
3,上,Unit5,four,/fɔː(r)/,num.,四,1,数字
3,上,Unit5,five,/faɪv/,num.,五,1,数字
3,上,Unit5,six,/sɪks/,num.,六,1,数字
3,上,Unit5,seven,/ˈsevn/,num.,七,1,数字
3,上,Unit5,eight,/eɪt/,num.,八,1,数字
3,上,Unit5,nine,/naɪn/,num.,九,1,数字
3,上,Unit5,ten,/ten/,num.,十,1,数字
3,上,Unit5,how many,/haʊ ˈmeni/,phr.,多少,1,数字
3,上,Unit6,cat,/kæt/,n.,猫,1,动物
3,上,Unit6,dog,/dɒɡ/,n.,狗,1,动物
3,上,Unit6,duck,/dʌk/,n.,鸭子,1,动物
3,上,Unit6,pig,/pɪɡ/,n.,猪,1,动物
3,上,Unit6,bear,/beə(r)/,n.,熊,1,动物
3,上,Unit6,panda,/ˈpændə/,n.,熊猫,1,动物
3,上,Unit6,monkey,/ˈmʌŋki/,n.,猴子,1,动物
3,上,Unit6,elephant,/ˈelɪfənt/,n.,大象,1,动物
3,上,Unit6,bird,/bɜːd/,n.,鸟,1,动物
3,上,Unit6,tiger,/ˈtaɪɡə(r)/,n.,老虎,1,动物
3,上,Unit6,zoo,/zuː/,n.,动物园,1,场所
3,上,Unit6,funny,/ˈfʌni/,adj.,有趣的；滑稽的,1,形容词
3,下,Unit1,UK,/ˌjuːˈkeɪ/,n.,英国,1,国家
3,下,Unit1,Canada,/ˈkænədə/,n.,加拿大,1,国家
3,下,Unit1,USA,/ˌjuː es ˈeɪ/,n.,美国,1,国家
3,下,Unit1,China,/ˈtʃaɪnə/,n.,中国,1,国家
3,下,Unit1,welcome,/ˈwelkəm/,int.,欢迎,1,问候
3,下,Unit1,family,/ˈfæməli/,n.,家；家庭,1,家庭
3,下,Unit1,father,/ˈfɑːðə(r)/,n.,父亲；爸爸,1,家庭
3,下,Unit1,dad,/dæd/,n.,爸爸,1,家庭
3,下,Unit1,mother,/ˈmʌðə(r)/,n.,母亲；妈妈,1,家庭
3,下,Unit1,mum,/mʌm/,n.,妈妈,1,家庭
3,下,Unit1,man,/mæn/,n.,男人,1,人物
3,下,Unit1,woman,/ˈwʊmən/,n.,女人,1,人物
3,下,Unit1,grandmother,/ˈɡrænmʌðə(r)/,n.,奶奶；外婆,1,家庭
3,下,Unit1,grandma,/ˈɡrænmɑː/,n.,奶奶；外婆,1,家庭
3,下,Unit1,grandfather,/ˈɡrænfɑːðə(r)/,n.,爷爷；外公,1,家庭
3,下,Unit1,grandpa,/ˈɡrænpɑː/,n.,爷爷；外公,1,家庭
3,下,Unit1,sister,/ˈsɪstə(r)/,n.,姐；妹,1,家庭
3,下,Unit1,brother,/ˈbrʌðə(r)/,n.,兄；弟,1,家庭
3,下,Unit2,thin,/θɪn/,adj.,瘦的,1,形容词
3,下,Unit2,fat,/fæt/,adj.,胖的,1,形容词
3,下,Unit2,tall,/tɔːl/,adj.,高的,1,形容词
3,下,Unit2,short,/ʃɔːt/,adj.,矮的；短的,1,形容词
3,下,Unit2,long,/lɒŋ/,adj.,长的,1,形容词
3,下,Unit2,small,/smɔːl/,adj.,小的,1,形容词
3,下,Unit2,big,/bɪɡ/,adj.,大的,1,形容词
3,下,Unit2,giraffe,/dʒəˈrɑːf/,n.,长颈鹿,1,动物
3,下,Unit2,children,/ˈtʃɪldrən/,n.,儿童（复数）,1,人物
3,下,Unit2,tail,/teɪl/,n.,尾巴,1,身体
3,下,Unit3,in,/ɪn/,prep.,在……里面,1,方位
3,下,Unit3,on,/ɒn/,prep.,在……上面,1,方位
3,下,Unit3,under,/ˈʌndə(r)/,prep.,在……下面,1,方位
3,下,Unit3,desk,/desk/,n.,书桌,1,家具
3,下,Unit3,chair,/tʃeə(r)/,n.,椅子,1,家具
3,下,Unit3,cap,/kæp/,n.,帽子,1,衣物
3,下,Unit3,ball,/bɔːl/,n.,球,1,玩具
3,下,Unit3,car,/kɑː(r)/,n.,小汽车,1,交通
3,下,Unit3,boat,/bəʊt/,n.,小船,1,交通
3,下,Unit3,map,/mæp/,n.,地图,1,学校
